a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-hk-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-han-sans-otc-fonts 2.004-1
adobe-source-han-sans-tw-fonts 2.004-1
adobe-source-han-serif-cn-fonts 2.002-1
adobe-source-han-serif-hk-fonts 2.002-1
adobe-source-han-serif-jp-fonts 2.002-1
adobe-source-han-serif-kr-fonts 2.002-1
adobe-source-han-serif-otc-fonts 2.002-1
adobe-source-han-serif-tw-fonts 2.002-1
adobe-source-sans-fonts 3.052-1
adobe-source-serif-fonts 4.005-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
airspy 1.0.10-1
alsa-card-profiles 1:0.3.85-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-tools 1.2.5-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amd-ucode 20231030.2b304bfe-1
aml 0.3.0-1
android-file-transfer 4.2-3
antiword 0.37-10
aom 3.7.0-1
apache 2.4.58-1
apitrace 11.1-2
apparmor 3.1.6-2
appstream 0.16.4-1
apr 1.7.4-1
apr-util 1.6.3-1
arc-gtk-theme 20221218-1
arch-install-scripts 28-1
archiso 73-1
archlinux-keyring 20231113-1
arduino 1:1.8.19-2
arduino-builder 1.6.1-2
arduino-ctags 5.8_arduino11-4
argon2 20190702-5
aribb24 1.0.3-3
arj 3.10.22-13
arpack 3.9.1-1
artyfx 1.3.1-2
asciidoc 10.2.0-3
asio 1.28.0-1
aspnet-runtime-6.0 6.0.24.sdk124-1
assimp 5.3.1-1
at-spi2-core 2.50.0-1
at51 1.0.0-4
atkmm 2.28.3-1
atomicparsley 20221229.172126.d813aa6-1
attr 2.5.1-3
audacity 1:3.4.1-1
audit 3.1.2-1
augeas 1.14.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r139+ge5b0bad-1
avfs 1.1.5-1
avidemux-cli 2.8.1-2
avidemux-qt 2.8.1-2
avr-binutils 2.41-1
avr-gcc 13.2.0-2
avr-libc 2.1.0-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.106-1
baobab 45.0-1
base 3-2
bash 5.2.015-5
bc 1.07.1-4
bchunk 1.2.2-7
bcprov 1.73-1
benzene 20130630-2
bigsh0t 2.6-1
binutils 2.41-3
binwalk 2.3.4-2
birdfont 2.32.3-1
bison 3.8.2-6
bladerf 2023.02-2
blas 3.11.0-3
blosc 1.21.5-1
bluez 5.70-1
bluez-libs 5.70-1
bmusb 0.7.6-2
bolt 0.9.6-1
boost 1.83.0-2
boost-libs 1.83.0-2
box2d 2.4.1-2
bpf 6.5-1
brial 1.2.12-2
brltty 6.6-2
brotli 1.1.0-1
btrfs-progs 6.6.1-1
bubblewrap 0.8.0-1
buckygen 1.1-2
bzip2 1.0.8-5
c-ares 1.21.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.94-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairo-perl 1.109-3
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cameractrls 0.5.11-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
cardinal 23.10-1
cardinal-clap 23.10-1
cardinal-data 23.10-1
cardinal-lv2 23.10-1
cardinal-standalone 23.10-1
cardinal-vst 23.10-1
cardinal-vst3 23.10-1
carla 2.5.7-1
cblas 3.11.0-3
cclive 0.9.3-30
cddlib 1:0.94m-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
cfitsio 1:4.3.0-1
cgal 5.6-1
chafa 1.12.4-3
check 0.15.2-2
cheese 44.1-2
chezmoi 2.41.0-1
chromaprint 1.5.1-7
chrono-date 3.0.1-3
cifs-utils 7.0-3
cjson 1.7.16-1
clang 16.0.6-1
clipgrab 3.9.7-2
cliquer 1.22-1
cloc 1.98-1
clpeak 1.1.2-1
clucene 2.3.3.4-14
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.27.8-1
cmark 0.30.3-1
codec2 1:1.2.0-1
cogl 1.22.8-2
coin 4.0.0.04c190-4
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
compiler-rt 16.0.6-2
confuse 3.3-3
coq-doc 8.16.1-1
coreutils 9.4-2
cpio 2.14-1
cppdap 1.58.0-1
cracklib 2.9.11-1
crypto++ 8.9.0-1
cryptsetup 2.6.1-3
csound 6.18.1-3
cuda 12.3.0-6
cudnn 8.9.6.50-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
cups-pk-helper 0.2.7-1
curl 8.4.0-2
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dblatex 0.3.12-6
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
debootstrap 1.0.133-1
deepin-desktop-base 2:2023.09.05-1
deepin-font-manager 6.0.2-1
deepin-qt5integration 5.6.17-2
deepin-qt5platform-plugins 5.6.16-3
deepin-reader 5.10.29-6
default-cursors 2-1
desktop-file-utils 0.27-1
devede 4.17.0-2
device-mapper 2.03.22-2
dfu-util 0.11-2
dhcpcd 10.0.5-1
diffoscope 251-1
diffpdf 2.1.3.1-3
diffutils 3.10-1
discount 3.0.0.a-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dleyna 0.8.2-2
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker-compose 2.23.1-1
docx2txt 1.4-5
dosbox 0.74.3-2
dosfstools 4.2-3
dotconf 1.3-7
dotnet-host 7.0.13.sdk113-1
dotnet-runtime-6.0 6.0.24.sdk124-1
double-conversion 3.3.0-1
doxygen 1.9.8-1
dropbear 2022.83-1
dtc 1.7.0-4
dtkcommon 5.6.19-1
dtkcore 1:5.6.19-1
dtkgui 1:5.6.19-1
dtkwidget 5.6.19-1
duktape 2.7.0-6
dump_syms 2.2.2-1
dvdauthor 0.7.2-11
dvgrab 3.5-13
dvisvgm 3.1.2-1
dvtm 0.15-5
dwayland 5.25.0-1
e2fsprogs 1.47.0-1
ecl 23.9.9-1
eclib 20230424-3
editorconfig-core-c 0.12.6-1
edk2-aarch64 202308-3
edk2-arm 202308-3
